X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
-122.342304871585,47.6863570662324,1,Elementary,DANIEL BAGLEY ELEM,7821 Stone Ave N,,Daniel Bagley,K-5,Seattle,98103,(206)252-5110,https://bagleyes.seattleschools.org/,-122.34230487,47.68635707,Active,
-122.287515702371,47.7258083699327,4,Option Elementary,CEDAR PARK BLDG,3737 NE 135th St,,Cedar Park,K-5,Seattle,98125,(206)252-4300,http://cedarparkes.seattleschools.org/,-122.2875157,47.72580837,Active,
-122.351716580059,47.6328984835771,5,Elementary,HAY ELEM,201 Garfield St,,Hay,K-5,Seattle,98109,(206)252-2100,http://hayes.seattleschools.org/,-122.35171658,47.63289848,Active,
-122.322315348241,47.6772481422668,6,Elementary,JOHN MARSHALL,520 NE Ravenna Blvd,,Viewlands - Interim,K-5,Seattle,98115,(206)252-4400,https://viewlandses.seattleschools.org/,-122.32231535,47.67724814,Interim,
-122.336838126079,47.7256993928156,7,High School,INGRAHAM HIGH SCHOOL,1819 N 135th St,,Ingraham Int'l,9-12,Seattle,98133,(206)252-3880,http://ingrahamhs.seattleschools.org/,-122.33683813,47.72569939,Active,
-122.339622449524,47.6599617767442,8,High School,LINCOLN,4400 Interlake Ave N,,Lincoln,9-12,Seattle,98103,(206)413-2500,https://lincolnhs.seattleschools.org/,-122.33962245,47.65996178,Active,
-122.324690584151,47.5236109016965,9,Elementary,CONCORD ELEM,723 S Concord St.,,Concord Int'l,K-5,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,-122.32469058,47.5236109,Active,
-122.290579862136,47.5732413473041,10,Elementary,JOHN MUIR ELEM,3301 S Horton St,,John Muir,K-5,Seattle,98144,(206)252-7400,http://muires.seattleschools.org/,-122.29057986,47.57324135,Active,
-122.299846332198,47.5909585487251,11,Elementary,COLMAN SITE,2401 S Irving St,,Thurgood Marshall,K-5,Seattle,98144,(206)252-2800,http://marshalles.seattleschools.org/,-122.29984633,47.59095855,Active,
-122.270919626841,47.5252645773189,12,Option High School,SOUTH LAKE HIGH SCHOOL,8601 Rainier Ave S,,Sugiyama,9-12,Seattle,98118,(206)252-6600,https://sugiyamahs.seattleschools.org/,-122.27091963,47.52526458,Active,
